timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748182200507,3287,GetRequest,200,OK,Thread Group 1-1,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3274,0,3008
1748182200507,3287,GetRequest,200,OK,Thread Group 1-2,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3278,0,3014
1748182200507,3287,GetRequest,200,OK,Thread Group 1-5,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3274,0,3020
1748182200861,2933,GetRequest,200,OK,Thread Group 1-9,text,true,,1607,170,10,10,https://jsonplaceholder.typicode.com/posts/1,2924,0,2656
1748182200962,2832,GetRequest,200,OK,Thread Group 1-10,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,2819,0,2567
1748182200507,3287,GetRequest,200,OK,Thread Group 1-3,text,true,,1607,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3274,0,3020
1748182200761,3033,GetRequest,200,OK,Thread Group 1-8,text,true,,1607,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3020,0,2766
1748182200662,3132,GetRequest,200,OK,Thread Group 1-7,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3123,0,2865
1748182200507,3287,GetRequest,200,OK,Thread Group 1-4,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3274,0,3014
1748182200560,3234,GetRequest,200,OK,Thread Group 1-6,text,true,,1606,170,10,10,https://jsonplaceholder.typicode.com/posts/1,3221,0,2955
1748182203874,277,PostRequest,201,Created,Thread Group 1-10,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,277,0,0
1748182203878,273,PostRequest,201,Created,Thread Group 1-1,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,273,0,0
1748182203874,277,PostRequest,201,Created,Thread Group 1-7,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,277,0,0
1748182203874,277,PostRequest,201,Created,Thread Group 1-2,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,277,0,0
1748182203874,277,PostRequest,201,Created,Thread Group 1-5,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,277,0,0
1748182203874,278,PostRequest,201,Created,Thread Group 1-9,text,true,,1510,247,10,10,https://jsonplaceholder.typicode.com/posts,278,0,0
1748182203874,277,PostRequest,201,Created,Thread Group 1-3,text,true,,1510,247,10,10,https://jsonplaceholder.typicode.com/posts,277,0,0
1748182203875,280,PostRequest,201,Created,Thread Group 1-4,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,280,0,0
1748182203875,290,PostRequest,201,Created,Thread Group 1-6,text,true,,1509,247,10,10,https://jsonplaceholder.typicode.com/posts,290,0,0
1748182203874,291,PostRequest,201,Created,Thread Group 1-8,text,true,,1510,247,10,10,https://jsonplaceholder.typicode.com/posts,291,0,0
1748182204154,306,put request,200,OK,Thread Group 1-1,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,306,0,0
1748182204154,307,put request,200,OK,Thread Group 1-3,text,true,,1400,279,10,10,https://jsonplaceholder.typicode.com/posts/1,306,0,0
1748182204153,308,put request,200,OK,Thread Group 1-2,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,307,0,0
1748182204153,307,put request,200,OK,Thread Group 1-10,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,307,0,0
1748182204153,307,put request,200,OK,Thread Group 1-9,text,true,,1400,279,10,10,https://jsonplaceholder.typicode.com/posts/1,307,0,0
1748182204156,304,put request,200,OK,Thread Group 1-4,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,304,0,0
1748182204153,307,put request,200,OK,Thread Group 1-5,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,307,0,0
1748182204153,307,put request,200,OK,Thread Group 1-7,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,307,0,0
1748182204166,294,put request,200,OK,Thread Group 1-6,text,true,,1399,279,10,10,https://jsonplaceholder.typicode.com/posts/1,294,0,0
1748182204166,305,put request,200,OK,Thread Group 1-8,text,true,,1400,279,10,10,https://jsonplaceholder.typicode.com/posts/1,304,0,0
1748182204469,297,patch request,200,OK,Thread Group 1-4,text,true,,1354,222,10,10,https://jsonplaceholder.typicode.com/posts/1,297,0,0
1748182204468,298,patch request,200,OK,Thread Group 1-7,text,true,,1354,222,10,10,https://jsonplaceholder.typicode.com/posts/1,298,0,0
1748182204470,297,patch request,200,OK,Thread Group 1-2,text,true,,1354,222,10,10,https://jsonplaceholder.typicode.com/posts/1,297,0,0
1748182204467,302,patch request,200,OK,Thread Group 1-9,text,true,,1355,222,10,10,https://jsonplaceholder.typicode.com/posts/1,302,0,0
1748182204468,302,patch request,200,OK,Thread Group 1-10,text,true,,1354,222,10,10,https://jsonplaceholder.typicode.com/posts/1,302,0,0
1748182204467,303,patch request,200,OK,Thread Group 1-3,text,true,,1355,222,10,10,https://jsonplaceholder.typicode.com/posts/1,303,0,0
1748182204468,302,patch request,200,OK,Thread Group 1-6,text,true,,1354,222,10,10,https://jsonplaceholder.typicode.com/posts/1,302,0,0
